Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Parkinson Disease	C0030567	VPS11	55823	Q9H270	VPS11 core subunit of CORVET and HOPS complexes	Transporter	79	0.633	0.654	1.8905e-05	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	PSENEN	55851	Q9NZ42	presenilin enhancer, gamma-secretase subunit		24	0.695	0.423	0.87614	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	GPRC5C	55890	Q9NQ84	G protein-coupled receptor class C group 5 member C	G-protein coupled receptor	37	0.674	0.538	0.00047422	0.01		1.0	1	0	2009.0	2009.0
Parkinson Disease	C0030567	MYO5C	55930	Q9NQX4	myosin VC	Cellular structure	15	0.805	0.231	7.8146e-37	0.01		1.0	1	0	2014.0	2014.0
Parkinson Disease	C0030567	MYDGF	56005	Q969H8	myeloid derived growth factor		295	0.451	0.846	3.4923e-06	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	MAP2K2	5605	P36507	mitogen-activated protein kinase kinase 2	Kinase	177	0.534	0.731	0.96673	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	MAP2K6	5608	P52564	mitogen-activated protein kinase kinase 6	Kinase	59	0.631	0.615	0.91334	0.01		1.0	1	0	2010.0	2010.0
Parkinson Disease	C0030567	MAP2K7	5609	O14733	mitogen-activated protein kinase kinase 7	Kinase	408	0.419	0.808	0.99552	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	PRL	5617	P01236	prolactin	Signaling	506	0.406	0.885	2.9015e-07	0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	PROC	5624	P04070	protein C, inactivator of coagulation factors Va and VIIIa	Enzyme	200	0.504	0.808	1.9118e-05	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	ZNF253	56242	O75346	zinc finger protein 253		21	0.736	0.346	0.0032064	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	CTNNBL1	56259	Q8WYA6	catenin beta like 1		68	0.621	0.731	0.0097107	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	PROP1	5626	O75360	PROP paired-like homeobox 1		117	0.576	0.615	0.087746	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	PROS1	5627	P07225	protein S		283	0.467	0.846	0.00047089	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	LGMN	5641	Q99538	legumain	Enzyme	95	0.579	0.731	0.00040535	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	PRSS2	5645	P07478	serine protease 2	Enzyme	66	0.628	0.769		0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	KLK7	5650	P49862	kallikrein related peptidase 7	Enzyme	62	0.61	0.615	0.0006467	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	HTRA1	5654	Q92743	HtrA serine peptidase 1	Enzyme	164	0.532	0.692	0.00049201	0.01		1.0	1	0	2005.0	2005.0
Parkinson Disease	C0030567	NPDC1	56654	Q9NQX5	neural proliferation, differentiation and control 1		25	0.711	0.423	0.02958	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	PSG5	5673	Q15238	pregnancy specific beta-1-glycoprotein 5		61	0.631	0.615	8.8239e-22	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	PSMA2	5683	P25787	proteasome 20S subunit alpha 2		12	0.792	0.231	0.98234	0.01		1.0	1	0	2010.0	2010.0
Parkinson Disease	C0030567	TCIM	56892	Q9NR00	transcriptional and immune response regulator		49	0.636	0.5	0.0086883	0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	PNO1	56902	Q9NRX1	partner of NOB1 homolog		99	0.564	0.615	0.22652	0.01		1.0	1	0	2005.0	2005.0
Parkinson Disease	C0030567	PAK6	56924	Q9NQU5	p21 (RAC1) activated kinase 6		24	0.729	0.385	4.3077e-05	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	ARNTL2	56938	Q8WYA1	aryl hydrocarbon receptor nuclear translocator like 2	Transcription factor	41	0.644	0.654	6.0435e-10	0.01		1.0	1	0	2011.0	2011.0
Parkinson Disease	C0030567	RGMA	56963	Q96B86	repulsive guidance molecule BMP co-receptor a		43	0.656	0.692	0.16472	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	PSMB9	5698	P28065	proteasome 20S subunit beta 9		167	0.514	0.808	0.0027499	0.01		0.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	PSMC1	5700	P62191	proteasome 26S subunit, ATPase 1	Enzyme	12	0.78	0.462	0.99945	0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	CASS4	57091	Q9NQ75	Cas scaffold protein family member 4		19	0.722	0.231	0.36682	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	TIGAR	57103	Q9NQ88	TP53 induced glycolysis regulatory phosphatase		71	0.599	0.692	0.7348	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	PGLYRP4	57115	Q96LB8	peptidoglycan recognition protein 4		11	0.78	0.231	2.9387e-15	0.01		1.0	1	2	2014.0	2014.0
Parkinson Disease	C0030567	PELI1	57162	Q96FA3	pellino E3 ubiquitin protein ligase 1		74	0.603	0.731	0.39038	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	PSMD11	5717	O00231	proteasome 26S subunit, non-ATPase 11		7	0.839	0.269	0.99987	0.01		1.0	1	0	2014.0	2014.0
Parkinson Disease	C0030567	ANKRD50	57182	Q9ULJ7	ankyrin repeat domain 50		2	0.931	0.192	0.9792	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	VN1R1	57191	Q9GZP7	vomeronasal 1 receptor 1	G-protein coupled receptor	1	1.0	0.038		0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	MCOLN1	57192	Q9GZU1	mucolipin 1	Ion channel	102	0.601	0.654	0.00058027	0.01		1.0	1	0	2013.0	2013.0
Parkinson Disease	C0030567	TAS2R38	5726	P59533	taste 2 receptor member 38	G-protein coupled receptor	149	0.531	0.808	0.1303	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	PTGER2	5732	P43116	prostaglandin E receptor 2	G-protein coupled receptor	79	0.597	0.731	0.0074901	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	PTGER4	5734	P35408	prostaglandin E receptor 4	G-protein coupled receptor	120	0.558	0.731	0.9755	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	CYP20A1	57404	Q6UW02	cytochrome P450 family 20 subfamily A member 1		11	0.821	0.154	8.8921e-17	0.01		1.0	1	0	1996.0	1996.0
Parkinson Disease	C0030567	PTH	5741	P01270	parathyroid hormone		528	0.397	0.846	0.012093	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	MIR410	574434		microRNA 410		87	0.575	0.692		0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	NDRG2	57447	Q9UN36	NDRG family member 2	Enzyme	156	0.518	0.692	2.2044e-05	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	MIR520D	574482		microRNA 520d		9	0.839	0.077		0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	PPM1H	57460	Q9ULR3	protein phosphatase, Mg2+/Mn2+ dependent 1H	Enzyme	17	0.805	0.154	0.79216	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	ZNF512B	57473	Q96KM6	zinc finger protein 512B		4	0.931	0.077	0.99992	0.01		1.0	1	1	2015.0	2015.0
Parkinson Disease	C0030567	NLN	57486	Q9BYT8	neurolysin	Enzyme	74	0.597	0.731	3.9148e-12	0.01		1.0	1	0	2020.0	2020.0
Parkinson Disease	C0030567	ADGRB1	575	O14514	adhesion G protein-coupled receptor B1	G-protein coupled receptor	34	0.695	0.231	1.0	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	XPO5	57510	Q9HAV4	exportin 5	Receptor	57	0.623	0.654	0.99971	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	GPR158	57512	Q5T848	G protein-coupled receptor 158	G-protein coupled receptor	35	0.678	0.423	0.00055056	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	NUFIP2	57532	Q7Z417	nuclear FMR1 interacting protein 2		58	0.641	0.577	0.99891	0.01		1.0	1	0	2020.0	2020.0
Parkinson Disease	C0030567	NCEH1	57552	Q6PIU2	neutral cholesterol ester hydrolase 1	Enzyme	5	0.861	0.115	0.012968	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	SH3RF1	57630	Q7Z6J0	SH3 domain containing ring finger 1		12	0.78	0.231	0.010761	0.01		1.0	1	0	2007.0	2007.0
Parkinson Disease	C0030567	QSOX1	5768	O00391	quiescin sulfhydryl oxidase 1	Enzyme	43	0.67	0.577	2.5936e-05	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	USP37	57695	Q86T82	ubiquitin specific peptidase 37	Enzyme	16	0.792	0.192	0.99999	0.01		1.0	1	0	2011.0	2011.0
Parkinson Disease	C0030567	CWC22	57703	Q9HCG8	CWC22 spliceosome associated protein homolog	Enzyme	5	0.861	0.115	0.0008992	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	GBA2	57704	Q9HCG7	glucosylceramidase beta 2		79	0.636	0.654	1.9892e-20	0.01		1.0	1	1	2017.0	2017.0
Parkinson Disease	C0030567	PTPN6	5777	P29350	protein tyrosine phosphatase non-receptor type 6		218	0.485	0.769	0.99999	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	HAMP	57817	P81172	hepcidin antimicrobial peptide		377	0.433	0.846	0.0081797	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	LSM2	57819	Q9Y333	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated	Nucleic acid binding	42	0.65	0.577	2.4045e-05	0.01		1.0	1	0	2013.0	2013.0
Parkinson Disease	C0030567	PTPRA	5786	P18433	protein tyrosine phosphatase receptor type A	Enzyme	91	0.573	0.654	0.99998	0.01		1.0	1	0	1999.0	1999.0
Parkinson Disease	C0030567	PTX3	5806	P26022	pentraxin 3		296	0.457	0.808	6.9827e-05	0.01		1.0	1	0	2001.0	2001.0
Parkinson Disease	C0030567	DLGAP3	58512	O95886	DLG associated protein 3	Receptor	18	0.736	0.269	0.99998	0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	SNX6	58533	Q9UNH7	sorting nexin 6		6	0.89	0.154	0.49898	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	QDPR	5860	P09417	quinoid dihydropteridine reductase	Enzyme	45	0.691	0.5	0.00015254	0.01		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	RAB3B	5865	P20337	RAB3B, member RAS oncogene family		5	0.861	0.115	0.31473	0.01		1.0	1	0	2009.0	2009.0
Parkinson Disease	C0030567	RAB6A	5870	P20340	RAB6A, member RAS oncogene family		27	0.716	0.462	0.95237	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	RAD51	5888	Q06609	RAD51 recombinase		363	0.447	0.846	0.026578	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	RAD51B	5890	O15315	RAD51 paralog B		126	0.556	0.769	2.079e-15	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	RAN	5901	P62826	RAN, member RAS oncogene family	Enzyme modulator	87	0.576	0.808	0.97576	0.01		1.0	1	0	2014.0	2014.0
Parkinson Disease	C0030567	RAP1B	5908	P61224	RAP1B, member of RAS oncogene family	Enzyme modulator	116	0.565	0.769	0.90995	0.01		1.0	1	0	2007.0	2007.0
Parkinson Disease	C0030567	RAP2B	5912	P61225	RAP2B, member of RAS oncogene family	Enzyme modulator	45	0.644	0.462	0.48658	0.01		1.0	1	0	2007.0	2007.0
Parkinson Disease	C0030567	RB1	5925	P06400	RB transcriptional corepressor 1	Nucleic acid binding	339	0.444	0.885	1.0	0.01		1.0	1	0	2003.0	2003.0
Parkinson Disease	C0030567	ACE2	59272	Q9BYF1	angiotensin I converting enzyme 2	Enzyme	253	0.477	0.769	0.99769	0.01		1.0	1	0	2007.0	2007.0
Parkinson Disease	C0030567	LGR6	59352	Q9HBX8	leucine rich repeat containing G protein-coupled receptor 6	G-protein coupled receptor	209	0.502	0.923	2.9439e-06	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	REL	5966	Q04864	REL proto-oncogene, NF-kB subunit	Transcription factor	90	0.579	0.692	0.99836	0.01		1.0	1	0	1999.0	1999.0
Parkinson Disease	C0030567	BCL2L1	598	Q07817	BCL2 like 1	Signaling	212	0.493	0.885	0.93667	0.01		1.0	1	0	2002.0	2002.0
Parkinson Disease	C0030567	RGS2	5997	P41220	regulator of G protein signaling 2	Enzyme modulator	109	0.561	0.769	5.6973e-06	0.01		1.0	1	0	2014.0	2014.0
Parkinson Disease	C0030567	RGS4	5999	P49798	regulator of G protein signaling 4	Enzyme modulator	64	0.621	0.577	5.1409e-08	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	RGS10	6001	O43665	regulator of G protein signaling 10		20	0.76	0.423	0.75933	0.01		1.0	1	0	2011.0	2011.0
Parkinson Disease	C0030567	RHEB	6009	Q15382	Ras homolog, mTORC1 binding	Enzyme modulator	53	0.631	0.577	0.98119	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	RING1	6015	Q06587	ring finger protein 1		42	0.653	0.423	0.64854	0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	HAPLN2	60484	Q9GZV7	hyaluronan and proteoglycan link protein 2	Extracellular structure	3	0.931	0.077	7.1205e-07	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	RNH1	6050	P13489	ribonuclease/angiogenin inhibitor 1	Transcription factor	90	0.569	0.731	2.5541e-10	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	PROK2	60675	Q9HC23	prokineticin 2	Signaling	151	0.555	0.769	0.013828	0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	FKBP10	60681	Q96AY3	FKBP prolyl isomerase 10		86	0.606	0.538	2.3826e-06	0.01		1.0	1	0	2020.0	2020.0
Parkinson Disease	C0030567	RNY1	6084		RNA, Ro60-associated Y1		10	0.821	0.192		0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	ROCK1	6093	Q13464	Rho associated coiled-coil containing protein kinase 1	Kinase	157	0.513	0.731	1.0	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	BCR	613	P11274	BCR activator of RhoGEF and GTPase	Enzyme modulator	392	0.431	0.885	0.98761	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	RPL32	6161	P62910	ribosomal protein L32	Nucleic acid binding	8	0.839	0.192	0.79962	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	RPS6	6194	P62753	ribosomal protein S6	Nucleic acid binding	117	0.547	0.692	0.9759	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	MIR486-1	619554		microRNA 486-1		142	0.521	0.808		0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	RPS6KB1	6198	P23443	ribosomal protein S6 kinase B1	Kinase	169	0.511	0.731	0.97285	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	RRAS	6237	P10301	RAS related	Enzyme modulator	149	0.543	0.808	0.004663	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	RTN1	6252	Q16799	reticulon 1		44	0.666	0.615	0.98593	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	RXRA	6256	P19793	retinoid X receptor alpha	Nuclear receptor	132	0.543	0.769	0.99852	0.01		1.0	1	1	2017.0	2017.0
Parkinson Disease	C0030567	S100A9	6280	P06702	S100 calcium binding protein A9	Calcium-binding protein	363	0.433	0.885	0.4777	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	S100A10	6281	P60903	S100 calcium binding protein A10	Calcium-binding protein	150	0.528	0.769	0.16843	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	CFB	629	P00751	complement factor B		139	0.532	0.769	4.6696e-16	0.01		0.0	1	0	1984.0	1984.0
Parkinson Disease	C0030567	SALL1	6299	Q9NSC2	spalt like transcription factor 1	Transcription factor	156	0.539	0.808	0.99971	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SAT1	6303	P21673	spermidine/spermine N1-acetyltransferase 1		135	0.539	0.808	0.8706	0.01		1.0	1	0	2010.0	2010.0
Parkinson Disease	C0030567	SATB1	6304	Q01826	SATB homeobox 1	Transcription factor	147	0.525	0.769	0.99051	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	BGLAP	632	P02818	bone gamma-carboxyglutamate protein		274	0.462	0.846	4.6155e-08	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SCN1A	6323	P35498	sodium voltage-gated channel alpha subunit 1	Ion channel	287	0.477	0.808	1.0	0.01		1.0	1	0	2014.0	2014.0
Parkinson Disease	C0030567	SCN8A	6334	Q9UQD0	sodium voltage-gated channel alpha subunit 8	Ion channel	302	0.51	0.731	1.0	0.01		1.0	1	0	2006.0	2006.0
Parkinson Disease	C0030567	SCN9A	6335	Q15858	sodium voltage-gated channel alpha subunit 9	Ion channel	213	0.543	0.615	4.7524e-19	0.01		1.0	1	1	2012.0	2012.0
Parkinson Disease	C0030567	CCL3	6348	P10147	C-C motif chemokine ligand 3	Signaling	282	0.46	0.885	0.34981	0.01		1.0	1	0	2009.0	2009.0
Parkinson Disease	C0030567	NEUROD6	63974	Q96NK8	neuronal differentiation 6	Enzyme	6	0.861	0.115	0.88454	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	ANO3	63982	Q9BYT9	anoctamin 3		37	0.716	0.385	1.2489e-17	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	SEL1L	6400	Q9UBV2	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase		60	0.628	0.654	0.98233	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SELE	6401	P16581	selectin E		327	0.447	0.808	7.9058e-10	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	TNMD	64102	Q9H2S6	tenomodulin		86	0.588	0.692	0.0035119	0.01		1.0	1	0	2020.0	2020.0
Parkinson Disease	C0030567	SLC39A8	64116	Q9C0K1	solute carrier family 39 member 8	Transporter	138	0.584	0.769	0.66924	0.01		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	TINAGL1	64129	Q9GZM7	tubulointerstitial nephritis antigen like 1	Enzyme	38	0.659	0.538	0.00032933	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	XYLT2	64132	Q9H1B5	xylosyltransferase 2		138	0.566	0.808	0.92576	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	SELENOP	6414	P49908	selenoprotein P	Extracellular structure	138	0.545	0.769	8.2884e-07	0.01		1.0	1	0	2020.0	2020.0
Parkinson Disease	C0030567	TFB2M	64216	Q9H5Q4	transcription factor B2, mitochondrial		7	0.861	0.231	8.7667e-06	0.01		0.0	1	0	2009.0	2009.0
Parkinson Disease	C0030567	MS4A6A	64231	Q9H2W1	membrane spanning 4-domains A6A	Receptor	10	0.821	0.231	8.3775e-13	0.01		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	POU5F1P3	642559		POU class 5 homeobox 1 pseudogene 3		285	0.452	0.808		0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	HIF3A	64344	Q9Y2N7	hypoxia inducible factor 3 subunit alpha	Transcription factor	31	0.682	0.538	0.0015428	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	SGK1	6446	O00141	serum/glucocorticoid regulated kinase 1	Kinase	188	0.506	0.769	0.0023046	0.01		1.0	1	0	2005.0	2005.0
Parkinson Disease	C0030567	CSMD1	64478	Q96PZ7	CUB and Sushi multiple domains 1		90	0.61	0.5	1.0	0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	POU5F1P4	645682		POU class 5 homeobox 1 pseudogene 4		284	0.452	0.808		0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	CCDC154	645811	A6NI56	coiled-coil domain containing 154		5	0.861	0.077	7.2485e-17	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	SHH	6469	Q15465	sonic hedgehog signaling molecule		303	0.461	0.846	0.98258	0.01		1.0	1	0	2010.0	2010.0
Parkinson Disease	C0030567	PDIA2	64714	Q13087	protein disulfide isomerase family A member 2		53	0.638	0.692	8.4515e-33	0.01		1.0	1	0	2004.0	2004.0
Parkinson Disease	C0030567	NORAD	647979		non-coding RNA activated by DNA damage		51	0.631	0.462		0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	BMI1	648	P35226	BMI1 proto-oncogene, polycomb ring finger		309	0.448	0.808	0.94286	0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	LINC00273	649159		long intergenic non-protein coding RNA 273		82	0.585	0.846		0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	BMP2	650	P12643	bone morphogenetic protein 2	Signaling	428	0.432	0.846	0.98799	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	SLC1A1	6505	P43005	solute carrier family 1 member 1	Transporter	122	0.561	0.654	8.6876e-06	0.01		1.0	1	0	2011.0	2011.0
Parkinson Disease	C0030567	RAPH1	65059	Q70E73	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	Receptor	80	0.593	0.654	0.99985	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SLC1A6	6511	P48664	solute carrier family 1 member 6	Transporter	11	0.78	0.154	0.76237	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SLC2A1	6513	P11166	solute carrier family 2 member 1	Transporter	687	0.388	0.808	0.9941	0.01		1.0	1	0	2013.0	2013.0
Parkinson Disease	C0030567	SLC2A4	6517	P14672	solute carrier family 2 member 4	Transporter	158	0.528	0.769	4.7123e-05	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	CXADRP1	653108		CXADR pseudogene 1		272	0.463	0.846		0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	SPAG11A	653423	Q08648;Q6PDA7	sperm associated antigen 11A		44	0.65	0.731	6.9645e-05	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SLC6A8	6535	P48029	solute carrier family 6 member 8	Transporter	274	0.476	0.846	0.99778	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	SLC6A11	6538	P48066	solute carrier family 6 member 11	Transporter	21	0.716	0.462	4.83e-05	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SLC6A13	6540	Q9NSD5	solute carrier family 6 member 13	Transporter	21	0.736	0.346	1.2157e-11	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SLC7A1	6541	P30825	solute carrier family 7 member 1	Transporter	46	0.678	0.5	0.99291	0.01		1.0	1	1	2010.0	2010.0
Parkinson Disease	C0030567	OCM	654231	P0CE72	oncomodulin		24	0.751	0.423	1.0885e-08	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SLC8A3	6547	P57103	solute carrier family 8 member A3	Transporter	51	0.666	0.346	0.00073391	0.01		1.0	1	1	2018.0	2018.0
Parkinson Disease	C0030567	SLC11A1	6556	P49279	solute carrier family 11 member 1	Transporter	141	0.525	0.846	1.5485e-19	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	SLC19A1	6573	P41440	solute carrier family 19 member 1	Transporter	155	0.523	0.692	6.4655e-06	0.01		1.0	1	3	2012.0	2012.0
Parkinson Disease	C0030567	SLC20A2	6575	Q08357	solute carrier family 20 member 2	Transporter	104	0.638	0.577	0.96545	0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	SLC22A5	6584	O76082	solute carrier family 22 member 5	Transporter	103	0.608	0.731	5.2651e-16	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	BMX	660	P51813	BMX non-receptor tyrosine kinase	Kinase	38	0.663	0.385	0.006673	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SMPD2	6610	O60906	sphingomyelin phosphodiesterase 2		28	0.686	0.423	3.5507e-18	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	SMS	6611	P52788	spermine synthase		263	0.491	0.846	0.97297	0.01		0.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	MIR545	664614		microRNA 545		34	0.674	0.538		0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	MIR542	664617		microRNA 542		76	0.592	0.538		0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	SORL1	6653	Q92673	sortilin related receptor 1	Transporter	103	0.582	0.692	7.6609e-11	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SOX2	6657	P48431	SRY-box transcription factor 2	Transcription factor	503	0.405	0.808	0.70662	0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	DST	667	Q03001	dystonin	Cellular structure	147	0.552	0.846	1.0	0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	SPN	6693	P16150	sialophorin		101	0.563	0.692	0.014408	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	SPTBN1	6711	Q01082	spectrin beta, non-erythrocytic 1		76	0.619	0.538	1.0	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	BRAF	673	P15056	B-Raf proto-oncogene, serine/threonine kinase	Kinase	1228	0.319	0.846	0.99995	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	ST13	6767	P50502	ST13 Hsp70 interacting protein		81	0.584	0.692	0.66074	0.01		1.0	1	0	2007.0	2007.0
Parkinson Disease	C0030567	STAT1	6772	P42224	signal transducer and activator of transcription 1	Nucleic acid binding	531	0.399	0.885	0.99999	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	STAT4	6775	Q14765	signal transducer and activator of transcription 4	Nucleic acid binding	316	0.471	0.769	0.7662	0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	PARK12	677662		Parkinson disease 12 (susceptibility)		2	1.0	0.038		0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	STIM1	6786	Q13586	stromal interaction molecule 1		247	0.501	0.808	0.77534	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	CDKL5	6792	O76039	cyclin dependent kinase like 5	Kinase	224	0.522	0.692	0.99932	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	STXBP1	6812	P61764	syntaxin binding protein 1	Transporter	213	0.532	0.692	1.0	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	ABCC8	6833	Q09428	ATP binding cassette subfamily C member 8	Transporter	317	0.474	0.846	7.9571e-24	0.01		1.0	1	0	2018.0	2018.0
